feature,count,freq
parotid__sym__min__dose__original_shape_Maximum2DDiameterRow,1,0.2
parotid__sym__min__dose__wavelet-HHL_glcm_ClusterTendency,1,0.2
parotid__sym__min__dose__wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,1,0.2
parotid__sym__min__dose__wavelet-HHL_ngtdm_Coarseness,1,0.2
parotid__sym__min__dose__wavelet-HLH_firstorder_Kurtosis,1,0.2
parotid__sym__min__dose__wavelet-HLH_glcm_ClusterProminence,1,0.2
parotid__sym__min__dose__wavelet-HLH_glcm_ClusterShade,1,0.2
parotid__sym__min__dose__wavelet-HLH_glszm_SizeZoneNonUniformity,1,0.2
parotid__sym__min__dose__wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,1,0.2
parotid__sym__min__dose__wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
parotid__sym__min__dose__wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,1,0.2
parotid__sym__min__dose__wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
parotid__sym__min__dose__wavelet-LHH_ngtdm_Busyness,1,0.2
parotid__sym__min__dose__wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__min__dose__wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,1,0.2
parotid__sym__min__dose__wavelet-LLH_firstorder_Median,1,0.2
parotid__sym__min__dose__wavelet-LLL_glcm_Correlation,1,0.2
parotid__sym__reldiff__dose__original_firstorder_Energy,1,0.2
parotid__sym__reldiff__dose__original_firstorder_TotalEnergy,1,0.2
parotid__sym__reldiff__dose__original_glcm_Contrast,1,0.2
parotid__sym__reldiff__dose__original_gldm_DependenceNonUniformity,1,0.2
parotid__sym__reldiff__dose__original_gldm_DependenceVariance,1,0.2
parotid__sym__reldiff__dose__original_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
submand_L__dose__log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
submand_L__dose__wavelet-HHH_firstorder_Skewness,1,0.2
submand_L__dose__wavelet-HHH_glszm_ZoneVariance,1,0.2
submand_L__dose__wavelet-HHL_gldm_SmallDependenceEmphasis,1,0.2
submand_L__dose__wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.2
submand_L__dose__wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,1,0.2
submand_L__dose__wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand_L__dose__wavelet-HLL_ngtdm_Coarseness,1,0.2
submand_L__dose__wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,1,0.2
submand_L__dose__wavelet-LHH_glrlm_GrayLevelVariance,1,0.2
submand_L__dose__wavelet-LHL_ngtdm_Coarseness,1,0.2
submand_L__dose__wavelet-LLH_firstorder_Maximum,1,0.2
submand_L__dose__wavelet-LLH_firstorder_Skewness,1,0.2
submand_R__dose__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,1,0.2
submand_R__dose__log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,1,0.2
submand_R__dose__original_firstorder_90Percentile,1,0.2
submand_R__dose__original_glrlm_ShortRunHighGrayLevelEmphasis,1,0.2
submand_R__dose__original_glszm_HighGrayLevelZoneEmphasis,1,0.2
submand_R__dose__wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,1,0.2
submand_R__dose__wavelet-HHH_glszm_SizeZoneNonUniformity,1,0.2
submand_R__dose__wavelet-HLH_ngtdm_Busyness,1,0.2
